"datenumber"	"yyyymmdd"
1	20020603
2	20020604
3	20020605
4	20020606
5	20020607
6	20020610
7	20020611
8	20020612
9	20020613
10	20020614
11	20020617
12	20020618
13	20020619
14	20020620
15	20020621
16	20020624
17	20020625
18	20020626
19	20020627
20	20020628
21	20020701
22	20020702
23	20020703
24	20020705
25	20020708
26	20020709
27	20020710
28	20020711
29	20020712
30	20020715
31	20020716
32	20020717
33	20020718
34	20020719
35	20020722
36	20020723
37	20020724
38	20020725
39	20020726
40	20020729
41	20020730
42	20020731
43	20020801
44	20020802
45	20020805
46	20020806
47	20020807
48	20020808
49	20020809
50	20020812
51	20020813
52	20020814
53	20020815
54	20020816
55	20020819
56	20020820
57	20020821
58	20020822
59	20020823
60	20020826
61	20020827
62	20020828
63	20020829
64	20020830
65	20020903
66	20020904
67	20020905
68	20020906
69	20020909
70	20020910
71	20020911
72	20020912
73	20020913
74	20020916
75	20020917
76	20020918
77	20020919
78	20020920
79	20020923
80	20020924
81	20020925
82	20020926
83	20020927
84	20020930
85	20021001
86	20021002
87	20021003
88	20021004
89	20021007
90	20021008
91	20021009
92	20021010
93	20021011
94	20021015
95	20021016
96	20021017
97	20021018
98	20021021
99	20021022
100	20021023
101	20021024
102	20021025
103	20021028
104	20021029
105	20021030
106	20021031
107	20021101
108	20021104
109	20021105
110	20021106
111	20021107
112	20021108
113	20021112
114	20021113
115	20021114
116	20021115
117	20021118
118	20021119
119	20021120
120	20021121
121	20021122
122	20021125
123	20021126
124	20021127
125	20021129
126	20021202
127	20021203
128	20021204
129	20021205
130	20021206
131	20021209
132	20021210
133	20021211
134	20021212
135	20021213
136	20021216
137	20021217
138	20021218
139	20021219
140	20021220
141	20021223
142	20021224
143	20021226
144	20021227
145	20021230
146	20021231
147	20030102
148	20030103
149	20030106
150	20030107
151	20030108
152	20030109
153	20030110
154	20030113
155	20030114
156	20030115
157	20030116
158	20030117
159	20030121
160	20030122
161	20030123
162	20030124
163	20030127
164	20030128
165	20030129
166	20030130
167	20030131
168	20030203
169	20030204
170	20030205
171	20030206
172	20030207
173	20030210
174	20030211
175	20030212
176	20030213
177	20030214
178	20030218
179	20030219
180	20030220
181	20030221
182	20030224
183	20030225
184	20030226
185	20030227
186	20030228
187	20030303
188	20030304
189	20030305
190	20030306
191	20030307
192	20030310
193	20030311
194	20030312
195	20030313
196	20030314
197	20030317
198	20030318
199	20030319
200	20030320
201	20030321
202	20030324
203	20030325
204	20030326
205	20030327
206	20030328
207	20030331
208	20030401
209	20030402
210	20030403
211	20030404
212	20030407
213	20030408
214	20030409
215	20030410
216	20030411
217	20030414
218	20030415
219	20030416
220	20030417
221	20030421
222	20030422
223	20030423
224	20030424
225	20030425
226	20030428
227	20030429
228	20030430
229	20030501
230	20030502
231	20030505
232	20030506
233	20030507
234	20030508
235	20030509
236	20030512
237	20030513
238	20030514
239	20030515
240	20030516
241	20030519
242	20030520
243	20030521
244	20030522
245	20030523
246	20030527
247	20030528
248	20030529
249	20030530
250	20030602
251	20030603
252	20030604
253	20030605
254	20030606
