"","dt","SIC_CODE","investment_Barc","percent_investment_Barc","investment_BofA","percent_investment_BofA","junk_Barc","percent_junk_Barc","junk_BofA","percent_junk_BofA","distressed_Barc","percent_distressed_Barc","distressed_BofA","percent_distressed_BofA"
"1",2002-06-28,1389,175000,0.052710843373494,175000,0.0464190981432361,0,0,0,0,0,NA,0,NA
"2",2002-06-28,2752,450000,0.135542168674699,450000,0.119363395225464,0,0,0,0,0,NA,0,NA
"3",2002-06-28,3420,0,0,0,0,3e+05,0.0201057023793088,3e+05,0.0201057023793088,0,NA,0,NA
"4",2002-06-28,3743,1e+05,0.0301204819277108,1e+05,0.026525198938992,0,0,0,0,0,NA,0,NA
"5",2002-06-28,4841,2595000,0.781626506024096,3045000,0.807692307692308,0,0,0,0,0,NA,0,NA
"6",2002-06-28,5331,0,0,0,0,13921140,0.932980992068971,13921140,0.932980992068971,0,NA,0,NA
"7",2002-06-28,6282,0,0,0,0,7e+05,0.0469133055517206,7e+05,0.0469133055517206,0,NA,0,NA
"8",2002-06-28,7389,0,0,0,0,0,0,0,0,0,NA,0,NA
"9",2002-07-31,1400,150000,0.526315789473684,150000,0.526315789473684,0,0,0,0,0,0,0,0
"10",2002-07-31,2761,0,0,0,0,0,0,0,0,135000,0.0210772833723653,135000,0.0210772833723653
"11",2002-07-31,3441,135000,0.473684210526316,135000,0.473684210526316,0,0,0,0,0,0,0,0
"12",2002-07-31,3812,0,0,0,0,0,0,0,0,150000,0.0234192037470726,150000,0.0234192037470726
"13",2002-07-31,4910,0,0,0,0,415000,0.734513274336283,415000,0.228650137741047,0,0,0,0
"14",2002-07-31,5410,0,0,0,0,0,0,0,0,695000,0.108508977361436,695000,0.108508977361436
"15",2002-07-31,6311,0,0,0,0,150000,0.265486725663717,1400000,0.771349862258953,0,0,0,0
"16",2002-07-31,7514,0,0,0,0,0,0,0,0,5425000,0.846994535519126,5425000,0.846994535519126
"17",2002-08-30,1311,125000,0.074974163903119,1207000,0.593996062992126,0,0,0,0,0,0,0,0
"18",2002-08-30,2670,0,0,0,0,2100000,0.990566037735849,2100000,0.990566037735849,0,0,0,0
"19",2002-08-30,3312,325000,0.194932826148109,325000,0.15994094488189,0,0,0,0,0,0,0,0
"20",2002-08-30,3691,150000,0.0899689966837428,150000,0.0738188976377953,0,0,0,0,0,0,0,0
"21",2002-08-30,4813,0,0,0,0,0,0,0,0,4733999,0.825601643809146,4583999,0.820916873373366
"22",2002-08-30,5169,0,0,0,0,0,0,0,0,1e+06,0.174398356190854,1e+06,0.179083126626634
"23",2002-08-30,6159,1067241,0.640124013265029,350000,0.172244094488189,0,0,0,0,0,0,0,0
"24",2002-08-30,7363,0,0,0,0,20000,0.00943396226415094,20000,0.00943396226415094,0,0,0,0
"25",2002-09-30,1531,2087000,0.720400414221609,1950000,0.573529411764706,0,0,0,0,0,0,0,0
"26",2002-09-30,2810,75000,0.0258888505350362,175000,0.0514705882352941,0,0,0,0,0,0,0,0
"27",2002-09-30,3460,2e+05,0.0690369347600966,2e+05,0.0588235294117647,0,0,0,0,0,0,0,0
"28",2002-09-30,3823,0,0,0,0,0,0,0,0,250000,0.0706414241311105,250000,0.147058823529412
"29",2002-09-30,4911,0,0,0,0,350000,1,10503919,1,0,0,0,0
"30",2002-09-30,5411,250000,0.0862961684501208,875000,0.257352941176471,0,0,0,0,0,0,0,0
"31",2002-09-30,6321,0,0,0,0,0,0,0,0,3289000,0.929358575868889,1450000,0.852941176470588
"32",2002-09-30,7830,285000,0.0983776320331377,2e+05,0.0588235294117647,0,0,0,0,0,0,0,0
"33",2002-10-31,2111,0,0,0,0,0,NA,0,NA,4950000,0.954750607568568,4950000,0.954750607568568
"34",2002-10-31,2874,0,0,0,0,0,NA,0,NA,0,0,0,0
"35",2002-10-31,3572,225000,0.197368421052632,225000,0.197368421052632,0,NA,0,NA,0,0,0,0
"36",2002-10-31,4412,0,0,0,0,0,NA,0,NA,117900,0.0227404235620877,117900,0.0227404235620877
"37",2002-10-31,4941,440000,0.385964912280702,440000,0.385964912280702,0,NA,0,NA,0,0,0,0
"38",2002-10-31,6021,1e+05,0.087719298245614,1e+05,0.087719298245614,0,NA,0,NA,0,0,0,0
"39",2002-10-31,6726,0,0,0,0,0,NA,0,NA,116700,0.0225089688693438,116700,0.0225089688693438
"40",2002-10-31,8082,375000,0.328947368421053,375000,0.328947368421053,0,NA,0,NA,0,0,0,0
"41",2002-11-29,2047,0,0,0,0,0,NA,0,NA,150000,0.3,150000,0.3
"42",2002-11-29,2842,3e+05,0.124895920066611,3e+05,0.116414435389988,0,NA,0,NA,0,0,0,0
"43",2002-11-29,3533,2e+05,0.0832639467110741,2e+05,0.0776096235933256,0,NA,0,NA,0,0,0,0
"44",2002-11-29,3949,210000,0.0874271440466278,210000,0.0814901047729918,0,NA,0,NA,0,0,0,0
"45",2002-11-29,4923,402000,0.167360532889259,402000,0.155995343422584,0,NA,0,NA,0,0,0,0
"46",2002-11-29,5812,915000,0.380932556203164,1090000,0.422972448583624,0,NA,0,NA,0,0,0,0
"47",2002-11-29,6361,0,0,0,0,0,NA,0,NA,350000,0.7,350000,0.7
"48",2002-11-29,7996,375000,0.156119900083264,375000,0.145518044237485,0,NA,0,NA,0,0,0,0
"49",2002-12-31,2211,1e+05,0.0409752099979512,1e+05,0.0409752099979512,0,NA,0,NA,0,0,0,0
"50",2002-12-31,2879,150000,0.0614628149969269,150000,0.0614628149969269,0,NA,0,NA,0,0,0,0
"51",2002-12-31,3577,1350000,0.553165334972342,1350000,0.553165334972342,0,NA,0,NA,0,0,0,0
"52",2002-12-31,4412,270000,0.110633066994468,270000,0.110633066994468,0,NA,0,NA,0,0,0,0
"53",2002-12-31,4941,0,0,0,0,0,NA,0,NA,200600,0.0543543055329757,200600,0.104993195854705
"54",2002-12-31,6021,0,0,0,0,0,NA,0,NA,3490000,0.945645694467024,1710000,0.895006804145295
"55",2002-12-31,6712,20500,0.00839991804958,20500,0.00839991804958,0,NA,0,NA,0,0,0,0
"56",2002-12-31,8071,550000,0.225363654988732,550000,0.225363654988732,0,NA,0,NA,0,0,0,0
"57",2003-01-31,2000,0,0,0,0,113400,0.158957106812447,113400,0.158957106812447,0,0,0,0
"58",2003-01-31,2819,5e+05,0.272776868521549,5e+05,0.240038406144983,0,0,0,0,0,0,0,0
"59",2003-01-31,3492,258000,0.140752864157119,508000,0.243879020643303,0,0,0,0,0,0,0,0
"60",2003-01-31,3829,0,0,0,0,6e+05,0.841042893187553,6e+05,0.841042893187553,0,0,0,0
"61",2003-01-31,4911,0,0,0,0,0,0,0,0,26268531,1,14464699,1
